,Half scale,Double scale,Base scale,Policy
508,85843.57749999966,73120.79500000004,77158.8349999995,ELOP
509,73873.3200000003,72973.78249999997,64440.04749999987,ELOP
510,67240.66500000004,66000.0,69349.02750000032,ELOP
511,63000.0,75184.90250000008,60000.0,ELOP
512,77988.93500000006,61808.0575,66000.0,ELOP
513,69098.67750000022,66000.0,69868.93000000017,ELOP
514,63317.19750000024,63000.0,60000.0,ELOP
515,63000.0,60000.0,60000.0,ELOP
516,76816.52499999944,69708.16749999975,68533.16749999998,ELOP
517,66000.0,75316.68500000006,65917.19750000024,ELOP
518,63000.0,63548.157500000205,72364.37999999989,ELOP
519,61577.40000000037,63000.0,60000.0,ELOP
520,81261.41749999952,65722.19750000001,65654.69750000001,ELOP
521,63715.15500000026,65999.99999999988,66032.19749999978,ELOP
522,62832.50250000041,60000.0,60000.0,ELOP
523,60000.0,60000.0,60000.00000000023,ELOP
524,85167.85499999952,81000.0,75455.4449999989,ELOP
525,61755.97250000015,69208.15749999997,63000.0,ELOP
526,60000.00000000047,65096.78749999986,74676.93000000017,ELOP
527,60000.0,70166.43000000017,64239.17749999976,ELOP
528,78449.04250000045,63000.0,63206.01999999932,ELOP
529,60000.0,66000.0,63441.94249999989,ELOP
530,60000.0,63000.0,64290.19749999954,ELOP
531,60000.0,60000.00000000012,62976.72999999905,ELOP
532,69223.16749999952,65413.622500000056,78913.88249999983,ELOP
533,60000.0,75000.0,62999.182499999646,ELOP
534,60000.0,66225.97249999992,75116.33500000043,ELOP
535,60000.0,62999.18250000011,66000.0,ELOP
536,72297.68749999907,63206.02000000025,63000.0,ELOP
537,63467.544999999925,66000.0,60000.0,ELOP
538,63569.58750000037,63074.38000000012,66000.0,ELOP
539,70923.04249999858,63033.56500000018,63000.0,ELOP
540,77955.00250000041,76759.49749999982,75000.0,ELOP
541,65439.69749999978,72207.75000000023,63198.15999999968,ELOP
542,66000.0,63000.0,69000.0,ELOP
543,78000.0,66329.69750000001,63824.28750000009,ELOP
544,71848.78000000026,63000.0,63000.0,ELOP
545,63000.0,63997.39999999991,60000.0,ELOP
546,66000.0,61520.76749999984,65724.8999999999,ELOP
